Rank,Release Group,Worldwide,Domestic,%,Foreign,%
86,Once Upon A Time,"$82,886,178","$485,728",0.6%,"$82,400,450",99.4%
87,Paradox,"$79,226,860",-,-,"$79,226,860",100%
88,Lady Bird,"$78,965,611","$48,958,273",62%,"$30,007,338",38%
89,Fantastica: A Boonie Bears Adventure,"$77,151,096",-,-,"$77,151,096",100%
90,The Nut Job 2: Nutty by Nature,"$68,743,485","$28,370,522",41.3%,"$40,372,963",58.7%
91,American Assassin,"$67,234,188","$36,249,674",53.9%,"$30,984,514",46.1%
92,Victoria & Abdul,"$66,558,465","$22,245,070",33.4%,"$44,313,395",66.6%
93,Suck Me Shakespeer 3,"$64,236,772",-,-,"$64,236,772",100%
94,Detective Conan: Crimson Love Letter,"$63,144,805",-,-,"$63,144,805",100%
95,The Mountain Between Us,"$62,832,209","$30,348,555",48.3%,"$32,483,654",51.7%
96,The Star,"$62,812,974","$40,852,824",65%,"$21,960,150",35%
97,How to Be a Latin Lover,"$62,547,032","$32,149,404",51.4%,"$30,397,628",48.6%
98,47 Meters Down,"$62,187,529","$44,307,191",71.2%,"$17,880,338",28.8%
99,"Everything, Everything","$61,621,140","$34,121,140",55.4%,"$27,500,000",44.6%
100,Doraemon: Great Adventure in the Antarctic Kachi Kochi,"$61,153,455",-,-,"$61,153,455",100%
101,Snatched,"$60,845,711","$45,852,178",75.4%,"$14,993,533",24.6%
102,The Founding of an Army,"$60,600,361",-,-,"$60,600,361",100%
103,My Little Pony: The Movie,"$60,330,833","$21,885,107",36.3%,"$38,445,726",63.7%
104,Molly's Game,"$59,284,015","$28,780,744",48.5%,"$30,503,271",51.5%
105,The Devotion of Suspect X,"$59,035,664","$686,435",1.2%,"$58,349,229",98.8%
106,Shock Wave,"$58,824,459",-,-,"$58,824,459",100%
107,Goldbuster,"$57,628,292","$186,135",0.3%,"$57,442,157",99.7%
108,All the Money in the World,"$56,996,304","$25,113,707",44.1%,"$31,882,597",55.9%
109,The Big Sick,"$56,411,585","$42,873,127",76%,"$13,538,458",24%
110,Gongjo,"$55,972,241","$475,618",0.8%,"$55,496,623",99.2%
111,All Eyez on Me,"$55,668,698","$44,922,302",80.7%,"$10,746,396",19.3%
112,Downsizing,"$55,003,890","$24,449,754",44.5%,"$30,554,136",55.5%
113,"I, Tonya","$53,939,297","$30,014,539",55.6%,"$23,924,758",44.4%
114,1987: When the Day Comes,"$53,834,292",-,-,"$53,834,292",100%
115,The Outlaws,"$52,946,454",-,-,"$52,946,454",100%
116,Bleeding Steel,"$48,825,526",-,-,"$48,825,526",100%
117,Logan Lucky,"$48,453,605","$27,780,977",57.3%,"$20,672,628",42.7%
118,Boo 2! A Madea Halloween,"$48,333,932","$47,319,572",97.9%,"$1,014,360",2.1%
119,Sky Hunter,"$48,065,601",-,-,"$48,065,601",100%
120,Phantom Thread,"$47,756,590","$21,198,205",44.4%,"$26,558,385",55.6%
121,Rough Night,"$47,347,283","$22,105,643",46.7%,"$25,241,640",53.3%
122,Son of Bigfoot,"$47,046,281","$289,308",0.6%,"$46,756,973",99.4%
123,Three Seconds,"$46,596,415",-,-,"$46,596,415",100%
124,The Thousand Faces of Dunjia,"$46,263,237","$124,187",0.3%,"$46,139,050",99.7%
125,The Battleship Island,"$46,183,383","$1,104,957",2.4%,"$45,078,426",97.6%
126,Hanson and the Beast,"$46,154,323",-,-,"$46,154,323",100%
127,Gintama Live Action the Movie,"$45,746,967",-,-,"$45,746,967",100%
128,Guilty of Mind,"$45,698,503",-,-,"$45,698,503",100%
129,Flatliners,"$45,158,254","$16,883,115",37.4%,"$28,275,139",62.6%
130,Bad Genius,"$44,560,421",-,-,"$44,560,421",100%
131,Mother!,"$44,516,999","$17,800,004",40%,"$26,716,995",60%
132,Wind River,"$43,980,821","$33,800,859",76.9%,"$10,179,962",23.1%
133,Battle of Memories,"$43,892,362","$594,552",1.4%,"$43,297,810",98.6%
134,The Snowman,"$43,155,261","$6,700,035",15.5%,"$36,455,226",84.5%
135,Gifted,"$43,046,590","$24,801,212",57.6%,"$18,245,378",42.4%
136,Loving Vincent,"$42,187,665","$6,735,118",16%,"$35,452,547",84%
137,Mary and the Witch's Flower,"$41,978,431","$2,418,404",5.8%,"$39,560,027",94.2%
138,Call Me by Your Name,"$41,887,595","$18,095,701",43.2%,"$23,791,894",56.8%
139,T2 Trainspotting,"$41,681,746","$2,402,004",5.8%,"$39,279,742",94.2%
140,Fist Fight,"$41,087,017","$32,187,017",78.3%,"$8,900,000",21.7%
141,The Circle,"$40,656,399","$20,497,844",50.4%,"$20,158,555",49.6%
142,Diary of a Wimpy Kid: The Long Haul,"$40,140,972","$20,738,724",51.7%,"$19,402,248",48.3%
143,Brotherhood of Blades 2,"$39,966,092","$14,204",<0.1%,"$39,951,888",100%
144,Midnight Runners,"$39,730,433",-,-,"$39,730,433",100%
145,The King,"$37,886,707",-,-,"$37,886,707",100%
146,Pokémon the Movie: I Choose You!,"$37,552,144","$2,401,722",6.4%,"$35,150,422",93.6%
147,Home Again,"$37,270,721","$27,020,284",72.5%,"$10,250,437",27.5%
148,The Adventurers,"$36,796,816","$216,556",0.6%,"$36,580,260",99.4%
149,"Tad, the Lost Explorer, and the Secret of King Midas","$35,704,046","$5,874",<0.1%,"$35,698,172",100%
150,Hostiles,"$35,669,017","$29,819,114",83.6%,"$5,849,903",16.4%
151,Namiya,"$35,351,623","$70,814",0.2%,"$35,280,809",99.8%
152,Destiny: The Tale of Kamakura,"$35,166,640",-,-,"$35,166,640",100%
153,The Liquidator,"$35,046,130",-,-,"$35,046,130",100%
154,Kidnap,"$34,814,102","$30,971,040",89%,"$3,843,062",11%
155,R.A.I.D. Special Unit,"$34,598,750",-,-,"$34,598,750",100%
156,The House,"$34,184,504","$25,584,504",74.8%,"$8,600,000",25.2%
157,I Want to Eat Your Pancreas,"$33,748,006","$277,019",0.8%,"$33,470,987",99.2%
158,Perfect Strangers,"$33,262,366","$1,014,507",3.1%,"$32,247,859",96.9%
159,Sleepless,"$32,917,353","$20,783,704",63.1%,"$12,133,649",36.9%
160,Hindi Medium,"$32,841,493",-,-,"$32,841,493",100%
161,Steel Rain,"$32,783,733",-,-,"$32,783,733",100%
162,The House That Never Dies II,"$32,433,588",-,-,"$32,433,588",100%
163,The Invisible Guest,"$31,191,910",-,-,"$31,191,910",100%
164,This Is Not What I Expected,"$30,996,615","$337,670",1.1%,"$30,658,945",98.9%
165,The Last Warrior,"$30,618,274",-,-,"$30,618,274",100%
166,Reset 2017 Re-release,"$29,949,252","$108,970",0.4%,"$29,840,282",99.6%
167,The Bye Bye Man,"$29,874,280","$22,395,806",75%,"$7,478,474",25%
168,The Disaster Artist,"$29,820,616","$21,120,616",70.8%,"$8,700,000",29.2%
169,The Swindlers,"$29,721,916","$241,916",0.8%,"$29,480,000",99.2%
170,Alibi.com,"$29,370,592",-,-,"$29,370,592",100%
171,Sword Art Online the Movie: Ordinal Scale,"$29,322,339","$1,522,976",5.2%,"$27,799,363",94.8%
172,Recep Ivedik 5,"$28,952,258",-,-,"$28,952,258",100%
173,Judwaa 2,"$28,733,523","$1,431,255",5%,"$27,302,268",95%
174,The Fortress,"$28,645,448","$252,895",0.9%,"$28,392,553",99.1%
175,What Happened to Monday,"$27,975,429",-,-,"$27,975,429",100%
176,Monster Family,"$27,890,108","$127,259",0.5%,"$27,762,849",99.5%
177,The Beguiled,"$27,869,129","$10,709,995",38.4%,"$17,159,134",61.6%
178,CHIPS,"$26,800,152","$18,600,152",69.4%,"$8,200,000",30.6%
179,A Cure for Wellness,"$26,620,002","$8,106,986",30.5%,"$18,513,016",69.5%
180,Only the Brave,"$26,351,322","$18,343,983",69.6%,"$8,007,339",30.4%
181,Twenty Two,"$26,289,378","$46,796",0.2%,"$26,242,582",99.8%
182,The Zookeeper's Wife,"$26,152,835","$17,571,660",67.2%,"$8,581,175",32.8%
183,Badrinath Ki Dulhania,"$26,134,309","$1,993,259",7.6%,"$24,141,050",92.4%
184,A Chinese Odyssey: Part 2 - Cinderella 2017 Re-release,"$25,960,664",-,-,"$25,960,664",100%
185,Love Off the Cuff,"$25,959,989",-,-,"$25,959,989",100%
186,Fireworks,"$25,672,406","$525,280",2%,"$25,147,126",98%
187,Father Figures,"$25,601,244","$17,501,244",68.4%,"$8,100,000",31.6%
188,Money,"$25,403,753",-,-,"$25,403,753",100%
189,The Death of Stalin,"$24,646,055","$8,047,856",32.7%,"$16,598,199",67.3%
190,The 8-Year Engagement,"$24,425,963",-,-,"$24,425,963",100%
191,Jolly LLB 2,"$24,214,186","$1,654,254",6.8%,"$22,559,932",93.2%
192,I Can Speak,"$24,024,444","$63,239",0.3%,"$23,961,205",99.7%
193,Wish Upon,"$23,468,586","$14,301,505",60.9%,"$9,167,081",39.1%
194,Detroit,"$23,355,100","$16,790,139",71.9%,"$6,564,961",28.1%
195,Extraordinary Mission,"$22,757,764","$54,174",0.2%,"$22,703,590",99.8%
196,The Glass Castle,"$22,088,533","$17,273,059",78.2%,"$4,815,474",21.8%
197,Leap! 2017 Re-release,"$21,929,861","$21,858,070",99.7%,"$71,791",0.3%
198,Épouse-moi mon pote,"$21,571,464",-,-,"$21,571,464",100%
199,The Prison,"$21,205,329","$207,481",1%,"$20,997,848",99%
200,One Hundred Thousand Bad Jokes 2,"$20,460,352",-,-,"$20,460,352",100%
